Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=,+,-,*,/,ID,(,),{,},[,],>,<,!,SEP_COMMA,SYM_ADDR,KEY_INT,KEY_FLOAT,KEY_CHAR,KEY_IF,KEY_ELSE,KEY_STRUCT,VALUE_INT,KEY_RETURN,KEY_WHILE,VALUE_FLOAT,VALUE_STRING,VALUE_CHAR,#END,$,Exp,A,B,MS,S,P,VAL_LIST,VAL_LIST_NEXT,DEF_VAL_LIST,DEF_FUNC,TYPE,OP_LOW,OP_HIGH,VAL_LOC,DEF_VALUE,RETURN,BOOL,CMP,OP_CMP,IF_S,ELSEIF_S,ELSE_S,WHILE_S,DEF_STRUCT,DEF_ARRAY,MULT_DEF,DEF_V,FUNC_START
98,,,,reduce?OP_HIGH?->?/,,reduce?OP_HIGH?->?/,reduce?OP_HIGH?->?/,,,,,,,,,,reduce?OP_HIGH?->?/,,,,,,,reduce?OP_HIGH?->?/,,,reduce?OP_HIGH?->?/,reduce?OP_HIGH?->?/,reduce?OP_HIGH?->?/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,,,,,,,,,,,,,,,,,,,,,,,,,reduce?B?->?*?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,shift?70,,,,,,,,,,,,,,,,,,shift?72,,,shift?73,shift?74,shift?75,,,,,,,,,141,,,,,,,69,,,,,,,,,,,,,,
101,,,,,,shift?142,,,,,,,,,,,,,,,,,,shift?143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,shift?94,shift?95,,,,,shift?145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,
103,,reduce?Exp?->?A,reduce?Exp?->?A,shift?97,shift?98,,,reduce?Exp?->?A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,
104,,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,,,reduce?A?->?B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,,,reduce?B?->?VAL_LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,shift?147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,,shift?148,reduce?B?->?ID,,,shift?149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,shift?106,,shift?107,shift?108,,,,,,,,,,shift?109,,,,,,,shift?110,,,shift?111,shift?112,shift?113,,,150,103,104,,,,,,,,,,,105,,,,,,,,,,,,,,
109,,,,,,shift?151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,,,reduce?VAL_LOC?->?VALUE_INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
